"cause","effect"
"ADK","GSTP1"
"ADK","GSTP1"
"ADK","LDHA"
"ADK","LDHA"
"ADK","NT5C3A"
"ADK","NT5C3A"
"ADK","PDE1A"
"ADK","PDE1A"
"ADK","PDE1C"
"ADK","PDE1C"
"ADK","PDE2A"
"ADK","PDE2A"
"ADK","PNP"
"ADK","PNP"
"ADM2","POMC"
"ADM2","POMC"
"ADRA1A","NOS1"
"ADRA1A","NOS1"
"ADRA1B","ADRA1A"
"ADRA1B","ADRA1A"
"ADRA1B","ADRA1D"
"ADRA1B","ADRA1D"
"ADRA1B","CCR3"
"ADRA1B","CCR3"
"ADRA1B","P2RY2"
"ADRA1B","P2RY2"
"ADRA1B","TGM2"
"ADRA1B","TGM2"
"ADRA1D","ADRA1A"
"ADRA1D","ADRA1A"
"ADRA1D","DTNA"
"ADRA1D","DTNA"
"ADRA2A","ADCY4"
"ADRA2A","ADCY4"
"ADRA2A","ADCY5"
"ADRA2A","ADCY5"
"ADRA2A","GNAZ"
"ADRA2A","GNAZ"
"ADRA2A","GNG7"
"ADRA2A","GNG7"
"ADRM1","PSMB3"
"ADRM1","PSMB3"
"ADRM1","PSMC3"
"ADRM1","PSMC3"
"ADRM1","SHFM1"
"ADRM1","SHFM1"
"ADSSL1","APRT"
"ADSSL1","APRT"
"ADSSL1","GART"
"ADSSL1","GART"
"ADSSL1","IL4I1"
"ADSSL1","IL4I1"
"ADSSL1","ITPA"
"ADSSL1","ITPA"
"ADSSL1","NPEPL1"
"ADSSL1","NPEPL1"
"ADSSL1","NT5C3A"
"ADSSL1","NT5C3A"
"ADSSL1","PGM2"
"ADSSL1","PGM2"
"AFMID","CCBL1"
"AFMID","CCBL1"
"AFMID","KMO"
"AFMID","KMO"
"AFMID","ME3"
"AFMID","ME3"
"AGA","GGCT"
"AGA","GGCT"
"AGMAT","SRM"
"AGMAT","SRM"
"AGR3","BZW2"
"AGR3","BZW2"
"AGRN","CDC42"
"AGRN","CDC42"
"AGRN","ITGA7"
"AGRN","ITGA7"
"AGRN","LAMA2"
"AGRN","LAMA2"
"AGRN","NCAM1"
"AGRN","NCAM1"
"AGRN","PAK4"
"AGRN","PAK4"
"AGRN","SDC1"
"AGRN","SDC1"
"AGTR1","APLNR"
"AGTR1","APLNR"
"AGTRAP","AGTR1"
"AGTRAP","AGTR1"
"AGTRAP","JAK2"
"AGTRAP","JAK2"
"AHCY","ADHFE1"
"AHCY","ADHFE1"
"AHCY","ADK"
"AHCY","ADK"
"AHCY","BHMT2"
"AHCY","BHMT2"
"AHCY","CCBL1"
"AHCY","CCBL1"
"AHCY","GSTP1"
"AHCY","GSTP1"
"AHCY","LDHA"
"AHCY","LDHA"
"AHCY","MAT2A"
"AHCY","MAT2A"
"AHCY","SDS"
"AHCY","SDS"
"AHCY","SDSL"
"AHCY","SDSL"
