"cause","effect"
"ACTB","YWHAZ"
"ACTG1","CYFIP1"
"ACTG1","CYFIP1"
"ACTG1","MYH14"
"ACTG1","MYH14"
"ACTG1","WASF2"
"ACTG1","WASF2"
"ACTG2","ACTA2"
"ACTG2","ACTA2"
"ACTG2","MYH14"
"ACTG2","MYH14"
"ACTG2","MYL6B"
"ACTG2","MYL6B"
"ACTN1","ACTG1"
"ACTN1","ACTG1"
"ACTN1","ACTN2"
"ACTN1","ACTN2"
"ACTN1","ACTN3"
"ACTN1","ACTN3"
"ACTN1","CTNNA3"
"ACTN1","CTNNA3"
"ACTN1","CTNND1"
"ACTN1","CTNND1"
"ACTN1","GNE"
"ACTN1","GNE"
"ACTN1","ITGA6"
"ACTN1","ITGA6"
"ACTN1","ITGB1"
"ACTN1","ITGB1"
"ACTN1","LIMS1"
"ACTN1","LIMS1"
"ACTN1","LPP"
"ACTN1","LPP"
"ACTN1","PIK3R1"
"ACTN1","PIK3R1"
"ACTN1","YES1"
"ACTN1","YES1"
"ACTN2","TNNT1"
"ACTN2","TNNT1"
"ACTN3","ACTN2"
"ACTN3","ACTN2"
"ACTN3","MYH3"
"ACTN3","MYH3"
"ACTN3","TNNT1"
"ACTN3","TNNT1"
"ACTR2","ACTG1"
"ACTR2","ACTG1"
"ACTR2","CDC42"
"ACTR2","CDC42"
"ACTR2","CORO1C"
"ACTR2","CORO1C"
"ACTR2","CYFIP1"
"ACTR2","CYFIP1"
"ACTR2","FMN1"
"ACTR2","FMN1"
"ACTR2","GMFG"
"ACTR2","GMFG"
"ACTR2","IGHV3-11"
"ACTR2","IGHV3-11"
"ACTR2","MYO1A"
"ACTR2","MYO1A"
"ACTR2","MYO5A"
"ACTR2","MYO5A"
"ACTR2","NCK1"
"ACTR2","NCK1"
"ACTR2","WASF2"
"ACTR2","WASF2"
"ACTR2","WIPF1"
"ACTR2","WIPF1"
"ACTR3","ACTB"
"ACTR3","ACTB"
"ACTR3","ACTG1"
"ACTR3","ACTG1"
"ACTR3","ACTR2"
"ACTR3","ACTR2"
"ACTR3","ARPC5"
"ACTR3","ARPC5"
"ACTR3","CAPZA2"
"ACTR3","CAPZA2"
"ACTR3","CD247"
"ACTR3","CD247"
"ACTR3","CDC42"
"ACTR3","CDC42"
"ACTR3","CYFIP1"
"ACTR3","CYFIP1"
"ACTR3","FCGR1A"
"ACTR3","FCGR1A"
"ACTR3","FCGR2A"
"ACTR3","FCGR2A"
"ACTR3","FCGR3A"
"ACTR3","FCGR3A"
"ACTR3","GDI2"
"ACTR3","GDI2"
"ACTR3","GSN"
"ACTR3","GSN"
"ACTR3","HCLS1"
"ACTR3","HCLS1"
"ACTR3","IGHV3-11"
"ACTR3","IGHV3-11"
"ACTR3","IGLL5"
"ACTR3","IGLL5"
"ACTR3","MYO5A"
"ACTR3","MYO5A"
"ACTR3","NCK1"
"ACTR3","NCK1"
"ACTR3","NCKAP1"
"ACTR3","NCKAP1"
"ACTR3","NCKAP1L"
"ACTR3","NCKAP1L"
"ACTR3","PDGFB"
"ACTR3","PDGFB"
"ACTR3","RAC1"
"ACTR3","RAC1"
"ACTR3","SEPT7"
"ACTR3","SEPT7"
"ACTR3","SUMO2"
"ACTR3","SUMO2"
"ACTR3","TRIP12"
"ACTR3","TRIP12"
"ACTR3","WAS"
"ACTR3","WAS"
"ACTR3","WASF2"
"ACTR3","WASF2"
"ACTR3","WIPF1"
"ACTR3","WIPF1"
"ACTR3","WIPF2"
"ACTR3","WIPF2"
"ACVR1","BMP5"
"ACVR1","BMP5"
"ACVR1","BMP7"
"ACVR1","BMP7"
"ACVR1","BMP8B"
"ACVR1","BMP8B"
"ACVR1","BMPR1A"
"ACVR1","BMPR1A"
"ACVR1","BMPR1B"
"ACVR1","BMPR1B"
"ACVR1","BMPR2"
"ACVR1","BMPR2"
"ACVR1","FKBP1B"
"ACVR1","FKBP1B"
"ACVR1","INHBB"
"ACVR1","INHBB"
"ACVR1","NEO1"
"ACVR1","NEO1"
"ACVR1","RGMA"
"ACVR1","RGMA"
"ACVR1","TGFBR1"
"ACVR1","TGFBR1"
"ACVR1","XPR1"
"ACVR1","XPR1"
"ACVR1C","ACVR1"
"ACVR1C","ACVR1"
"ACVR1C","INHBB"
"ACVR1C","INHBB"
"ACVR1C","LEFTY2"
"ACVR1C","LEFTY2"
"ACVR1C","TDGF1"
"ACVR1C","TDGF1"
"ADA","ADARB2"
"ADA","ADARB2"
"ADA","CECR1"
"ADA","CECR1"
"ADA","GNL2"
"ADA","GNL2"
"ADA","NT5C3A"
"ADA","NT5C3A"
"ADA","PWP1"
"ADA","PWP1"
"ADA","WDR43"
"ADA","WDR43"
"ADAD2","ADAT3"
"ADAD2","ADAT3"
"ADAM10","ADAM17"
"ADAM10","ADAM17"
"ADAM10","APH1A"
"ADAM10","APH1A"
"ADAM10","APLP2"
"ADAM10","APLP2"
"ADAM10","APP"
"ADAM10","APP"
"ADAM10","BCL2"
"ADAM10","BCL2"
"ADAM10","C7"
"ADAM10","C7"
"ADAM10","CD151"
"ADAM10","CD151"
"ADAM10","CD34"
"ADAM10","CD34"
"ADAM10","CDH2"
"ADAM10","CDH2"
"ADAM10","CTNNA1"
"ADAM10","CTNNA1"
"ADAM10","CTNNB1"
"ADAM10","CTNNB1"
"ADAM10","CTNND1"
"ADAM10","CTNND1"
"ADAM10","EGF"
"ADAM10","EGF"
"ADAM10","EGFR"
"ADAM10","EGFR"
"ADAM10","EPHA1"
"ADAM10","EPHA1"
"ADAM10","EPHA3"
"ADAM10","EPHA3"
"ADAM10","EPHA4"
"ADAM10","EPHA4"
"ADAM10","JAG2"
"ADAM10","JAG2"
"ADAM10","KDR"
"ADAM10","KDR"
"ADAM10","MMP14"
"ADAM10","MMP14"
"ADAM10","NCSTN"
"ADAM10","NCSTN"
"ADAM10","NOTCH3"
"ADAM10","NOTCH3"
"ADAM10","PSEN1"
"ADAM10","PSEN1"
"ADAM10","PTGFRN"
"ADAM10","PTGFRN"
"ADAM10","TSPAN14"
"ADAM10","TSPAN14"
"ADAM10","UBC"
"ADAM10","UBC"
"ADAM10","VDAC1"
"ADAM10","VDAC1"
"ADAM12","ACTN2"
"ADAM12","ACTN2"
"ADAM12","ITGB1"
"ADAM12","ITGB1"
"ADAM12","PIK3R1"
"ADAM12","PIK3R1"
"ADAM17","AREG"
"ADAM17","AREG"
"ADAM17","BDNF"
"ADAM17","BDNF"
"ADAM17","CD163"
"ADAM17","CD163"
"ADAM17","ERBB4"
"ADAM17","ERBB4"
"ADAM17","ITGB1"
"ADAM17","ITGB1"
"ADAM17","JAG2"
"ADAM17","JAG2"
"ADAM17","NRG3"
"ADAM17","NRG3"
"ADAM17","TNFRSF1B"
"ADAM17","TNFRSF1B"
"ADAM17","UBC"
"ADAM17","UBC"
"ADAM22","KCNA1"
"ADAM22","KCNA1"
"ADAM22","YWHAZ"
"ADAM22","YWHAZ"
"ADAM28","ITGA4"
"ADAM28","ITGA4"
"ADAM28","ITGB1"
"ADAM28","ITGB1"
"ADAM33","DPP10"
"ADAM33","DPP10"
"ADAMTS16","ACAN"
"ADAMTS16","ACAN"
"ADAMTS16","ADAMTS13"
"ADAMTS16","ADAMTS13"
"ADAMTS16","ADAMTS18"
"ADAMTS16","ADAMTS18"
"ADAMTS16","ADAMTS4"
"ADAMTS16","ADAMTS4"
"ADAMTS16","ADAMTSL1"
"ADAMTS16","ADAMTSL1"
"ADAMTS16","ADAMTSL2"
"ADAMTS16","ADAMTSL2"
"ADAMTS16","ADAMTSL3"
"ADAMTS16","ADAMTSL3"
"ADAMTS16","ADAMTSL5"
"ADAMTS16","ADAMTSL5"
"ADAMTS16","SEMA5A"
"ADAMTS16","SEMA5A"
"ADAMTS16","SEMA5B"
"ADAMTS16","SEMA5B"
"ADAMTS18","ACAN"
"ADAMTS18","ACAN"
"ADAMTS18","ADAMTS12"
"ADAMTS18","ADAMTS12"
"ADAMTS18","ADAMTS4"
"ADAMTS18","ADAMTS4"
"ADAMTS18","ADAMTS5"
"ADAMTS18","ADAMTS5"
"ADAMTS18","ADAMTSL1"
"ADAMTS18","ADAMTSL1"
"ADAMTS18","ADAMTSL3"
"ADAMTS18","ADAMTSL3"
"ADAMTS18","SEMA5A"
"ADAMTS18","SEMA5A"
"ADAMTS18","SEMA5B"
"ADAMTS18","SEMA5B"
"ADAMTS18","THBS2"
"ADAMTS18","THBS2"
"ADAMTS4","ACAN"
"ADAMTS4","ACAN"
"ADAMTS4","ADAMTS12"
"ADAMTS4","ADAMTS12"
"ADAMTS4","ADAMTS13"
"ADAMTS4","ADAMTS13"
"ADAMTS4","SEMA5B"
"ADAMTS4","SEMA5B"
"ADAMTS5","ACAN"
"ADAMTS5","ACAN"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS4"
"ADAMTS5","ADAMTS4"
"ADAMTS5","ADAMTSL1"
"ADAMTS5","ADAMTSL1"
"ADAMTS5","ADAMTSL2"
"ADAMTS5","ADAMTSL2"
"ADAMTS5","ADAMTSL3"
"ADAMTS5","ADAMTSL3"
"ADAMTS5","SEMA5A"
"ADAMTS5","SEMA5A"
"ADAMTS5","SEMA5B"
"ADAMTS5","SEMA5B"
"ADAMTS5","THBS2"
"ADAMTS5","THBS2"
"ADAMTSL1","ADAMTS12"
"ADAMTSL1","ADAMTS12"
"ADAMTSL1","SEMA5A"
"ADAMTSL1","SEMA5A"
"ADAMTSL1","SEMA5B"
"ADAMTSL1","SEMA5B"
"ADAMTSL2","ADAMTS12"
"ADAMTSL2","ADAMTS12"
"ADAMTSL2","ADAMTS13"
"ADAMTSL2","ADAMTS13"
"ADAMTSL2","ADAMTSL1"
"ADAMTSL2","ADAMTSL1"
"ADAMTSL2","LTBP1"
"ADAMTSL2","LTBP1"
"ADAMTSL2","SEMA5A"
"ADAMTSL2","SEMA5A"
"ADAMTSL2","SEMA5B"
"ADAMTSL2","SEMA5B"
"ADAMTSL2","THBS2"
"ADAMTSL2","THBS2"
"ADAMTSL3","ADAMTS12"
"ADAMTSL3","ADAMTS12"
"ADAMTSL3","ADAMTS13"
"ADAMTSL3","ADAMTS13"
"ADAMTSL3","ADAMTS4"
"ADAMTSL3","ADAMTS4"
"ADAMTSL3","ADAMTSL1"
"ADAMTSL3","ADAMTSL1"
"ADAMTSL3","ADAMTSL2"
"ADAMTSL3","ADAMTSL2"
"ADAMTSL3","SEMA5A"
"ADAMTSL3","SEMA5A"
"ADAMTSL3","SEMA5B"
"ADAMTSL3","SEMA5B"
"ADAMTSL3","THBS2"
"ADAMTSL3","THBS2"
"ADAMTSL5","ADAMTS12"
"ADAMTSL5","ADAMTS12"
"ADAMTSL5","ADAMTS13"
"ADAMTSL5","ADAMTS13"
"ADAMTSL5","ADAMTSL1"
"ADAMTSL5","ADAMTSL1"
"ADAMTSL5","ADAMTSL2"
"ADAMTSL5","ADAMTSL2"
"ADAMTSL5","FBN2"
"ADAMTSL5","FBN2"
"ADAMTSL5","SEMA5B"
"ADAMTSL5","SEMA5B"
"ADAMTSL5","THBS2"
"ADAMTSL5","THBS2"
"ADAR","ADARB2"
"ADAR","ADARB2"
"ADAR","DDX58"
"ADAR","DDX58"
"ADAR","GBP2"
"ADAR","GBP2"
"ADAR","HLA-A"
"ADAR","HLA-A"
"ADAR","HLA-B"
"ADAR","HLA-B"
"ADAR","HLA-C"
"ADAR","HLA-C"
"ADAR","HLA-E"
"ADAR","HLA-E"
"ADAR","IFIT1"
"ADAR","IFIT1"
"ADAR","IFIT2"
"ADAR","IFIT2"
"ADAR","IFIT3"
"ADAR","IFIT3"
"ADAR","IFIT5"
"ADAR","IFIT5"
"ADAR","OAS1"
"ADAR","OAS1"
"ADAR","PSMB8"
"ADAR","PSMB8"
"ADAR","RSAD2"
"ADAR","RSAD2"
"ADAT2","ADAD2"
"ADAT2","ADAD2"
"ADAT2","ADAT3"
"ADAT2","ADAT3"
"ADAT2","MDM2"
"ADAT2","MDM2"
"ADAT2","RPA1"
"ADAT2","RPA1"
"ADCK5","FBXL6"
"ADCK5","FBXL6"
