"cause","effect"
"ACTN4","NPHS1"
"ACTN4","PDLIM1"
"ACTN4","PIK3R1"
"ACTN4","RAC1"
"ACTN4","SLC9A3R2"
"ACTN4","SSX2IP"
"ACTN4","TPM1"
"ACTN4","TPM2"
"ACTN4","TPM3"
"ACTN4","TPM4"
"ACTN4","TRIM3"
"ACTR2","ARF1"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC4-TTLL3"
"ACTR2","CDC42"
"ACTR2","CFL1"
"ACTR2","CORO1B"
"ACTR2","CYFIP2"
"ACTR2","FMN1"
"ACTR2","GMFG"
"ACTR2","IGHV3-11"
"ACTR2","IGLL5"
"ACTR2","NCK1"
"ACTR2","WASF1"
"ACTR3","ACTA1"
"ACTR3","ACTB"
"ACTR3","ACTR2"
"ACTR3","ARF1"
"ACTR3","ARHGAP10"
"ACTR3","ARPC1B"
"ACTR3","ARPC2"
"ACTR3","ARPC4"
"ACTR3","ARPC4-TTLL3"
"ACTR3","ARPC5"
"ACTR3","ARPC5L"
"ACTR3","CAPZA2"
"ACTR3","CDC42"
"ACTR3","CTTN"
"ACTR3","CYFIP2"
"ACTR3","DBN1"
"ACTR3","FCGR1A"
"ACTR3","FCGR2A"
"ACTR3","FCGR3A"
"ACTR3","GDI2"
"ACTR3","IGHV3-11"
"ACTR3","IGLL5"
"ACTR3","NCK1"
"ACTR3","NCKAP1L"
"ACTR3","PDGFB"
"ACTR3","PTMA"
"ACTR3","RAC1"
"ACTR3","SUMO2"
"ACTR3","WAS"
"ACTR3","WASF1"
"ACTR3","WASF3"
"ACTR3","WHAMM"
"ACTR3","WIPF2"
"ACTR3C","ACTB"
"ACTR3C","ACTR2"
"ACTR3C","ARPC1A"
"ACTR3C","ARPC1B"
"ACTR3C","ARPC2"
"ACTR3C","ARPC4"
"ACTR3C","ARPC5"
"ACTR3C","ARPC5L"
"ACTR3C","LRRC61"
"ACTR3C","WAS"
"ACTR3C","WHAMM"
"ACVR1C","ACVR1B"
"ACVR1C","BMP4"
"ACVR1C","DAND5"
"ACVR1C","GDF1"
"ACVR1C","INHBB"
"ACVR1C","INHBC"
"ACVR1C","INHBE"
"ACVR1C","LEFTY1"
"ACVR1C","LEFTY2"
"ACVR1C","NODAL"
"ACYP2","TSPYL6"
"ADA","APRT"
"ADA","BOP1"
"ADA","CECR1"
"ADA","DICER1"
"ADA","GMPS"
"ADA","ITPA"
"ADA","NOP2"
"ADAD2","ADAT3"
"ADAM11","KANSL1L"
"ADAM11","LGI3"
"ADAM11","LGI4"
"ADAM15","HCK"
"ADAM15","SH3GL2"
"ADAM22","CNTNAP2"
"ADAM22","DLG2"
"ADAM22","DLG4"
"ADAM22","LGI3"
"ADAM22","LGI4"
"ADAM22","YWHAB"
"ADAM22","YWHAZ"
"ADAM23","DLG4"
"ADAM23","KANSL1L"
"ADAM23","LGI3"
"ADAM23","LGI4"
"ADAM28","ITGA4"
"ADAM33","DPP10"
"ADAMTS1","ADAMTS13"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS3"
"ADAMTS1","ADAMTS4"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTS7"
"ADAMTS1","ADAMTS9"
"ADAMTS1","ADAMTSL1"
"ADAMTS1","ADAMTSL4"
"ADAMTS1","FBLN1"
"ADAMTS1","MMP19"
"ADAMTS1","POFUT2"
"ADAMTS1","SBSPON"
"ADAMTS1","SEMA5B"
"ADAMTS1","SPON1"
"ADAMTS1","THBS2"
"ADAMTS1","THSD4"
"ADAMTS1","THSD7A"
"ADAMTS1","VEGFA"
"ADAMTS10","ADAMTS1"
"ADAMTS10","ADAMTS13"
"ADAMTS10","ADAMTS14"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS16"
"ADAMTS10","ADAMTS18"
"ADAMTS10","ADAMTS19"
"ADAMTS10","ADAMTS20"
"ADAMTS10","ADAMTS3"
"ADAMTS10","ADAMTS4"
"ADAMTS10","ADAMTS5"
"ADAMTS10","ADAMTS7"
"ADAMTS10","ADAMTS9"
"ADAMTS10","ADAMTSL1"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","FBN1"
"ADAMTS10","POFUT2"
"ADAMTS10","SBSPON"
"ADAMTS10","SEMA5B"
"ADAMTS10","SPON1"
"ADAMTS10","THBS2"
"ADAMTS10","THSD4"
"ADAMTS10","THSD7A"
"ADAMTS10","THSD7B"
"ADAMTS13","ADAMTS14"
"ADAMTS13","ADAMTS20"
"ADAMTS13","ADAMTS7"
"ADAMTS13","ADAMTS9"
"ADAMTS13","ADAMTSL1"
"ADAMTS13","SEMA5B"
"ADAMTS13","SPON1"
"ADAMTS13","THSD7A"
"ADAMTS14","ADAMTS7"
"ADAMTS14","ADAMTS9"
"ADAMTS14","ADAMTSL1"
"ADAMTS14","COL11A2"
"ADAMTS14","SEMA5B"
"ADAMTS14","SPON1"
"ADAMTS14","THSD7A"
"ADAMTS15","ADAMTS13"
"ADAMTS15","ADAMTS14"
"ADAMTS15","ADAMTS4"
"ADAMTS15","ADAMTS7"
"ADAMTS15","ADAMTS9"
"ADAMTS15","ADAMTSL1"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","POFUT2"
"ADAMTS15","SEMA5B"
"ADAMTS15","SPON1"
"ADAMTS15","THBS2"
"ADAMTS15","THSD4"
"ADAMTS15","THSD7A"
"ADAMTS16","ADAMTS1"
"ADAMTS16","ADAMTS13"
"ADAMTS16","ADAMTS14"
"ADAMTS16","ADAMTS15"
"ADAMTS16","ADAMTS18"
"ADAMTS16","ADAMTS19"
"ADAMTS16","ADAMTS20"
"ADAMTS16","ADAMTS3"
"ADAMTS16","ADAMTS4"
"ADAMTS16","ADAMTS5"
"ADAMTS16","ADAMTS7"
"ADAMTS16","ADAMTS9"
"ADAMTS16","ADAMTSL1"
"ADAMTS16","ADAMTSL4"
"ADAMTS16","POFUT2"
"ADAMTS16","SBSPON"
"ADAMTS16","SEMA5B"
"ADAMTS16","SPON1"
"ADAMTS16","THBS2"
"ADAMTS16","THSD4"
"ADAMTS16","THSD7A"
"ADAMTS18","ADAMTS1"
"ADAMTS18","ADAMTS13"
"ADAMTS18","ADAMTS14"
"ADAMTS18","ADAMTS15"
"ADAMTS18","ADAMTS20"
"ADAMTS18","ADAMTS3"
"ADAMTS18","ADAMTS4"
"ADAMTS18","ADAMTS5"
"ADAMTS18","ADAMTS7"
"ADAMTS18","ADAMTS9"
"ADAMTS18","ADAMTSL1"
"ADAMTS18","ADAMTSL4"
"ADAMTS18","POFUT2"
"ADAMTS18","SBSPON"
"ADAMTS18","SEMA5B"
"ADAMTS18","THBS2"
"ADAMTS18","THSD7A"
"ADAMTS19","ADAMTS13"
"ADAMTS19","ADAMTS18"
"ADAMTS19","ADAMTS20"
"ADAMTS19","ADAMTS3"
"ADAMTS19","ADAMTS5"
"ADAMTS19","ADAMTS7"
"ADAMTS19","ADAMTS9"
"ADAMTS19","ADAMTSL4"
"ADAMTS19","POFUT2"
"ADAMTS19","SBSPON"
"ADAMTS19","SEMA5B"
"ADAMTS19","SPON1"
"ADAMTS19","THSD7A"
"ADAMTS20","ADAMTS9"
"ADAMTS20","SEMA5B"
"ADAMTS20","THSD7A"
"ADAMTS3","ADAMTS13"
"ADAMTS3","ADAMTS14"
"ADAMTS3","ADAMTS15"
"ADAMTS3","ADAMTS20"
"ADAMTS3","ADAMTS4"
"ADAMTS3","ADAMTS7"
"ADAMTS3","ADAMTS9"
"ADAMTS3","ADAMTSL1"
"ADAMTS3","ADAMTSL4"
"ADAMTS3","CCBE1"
"ADAMTS3","COL11A1"
"ADAMTS3","COL11A2"
"ADAMTS3","COL24A1"
"ADAMTS3","COL27A1"
"ADAMTS3","POFUT2"
"ADAMTS3","SBSPON"
"ADAMTS3","SEMA5B"
"ADAMTS3","THBS2"
"ADAMTS3","THSD4"
"ADAMTS3","THSD7A"
"ADAMTS4","ADAMTS13"
"ADAMTS4","ADAMTS14"
"ADAMTS4","ADAMTS7"
"ADAMTS4","ADAMTS9"
"ADAMTS4","ADAMTSL1"
"ADAMTS4","ADAMTSL4"
"ADAMTS4","SEMA5B"
"ADAMTS4","SPON1"
"ADAMTS4","THSD7A"
"ADAMTS5","ADAMTS13"
"ADAMTS5","ADAMTS14"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTS20"
