"cause","effect"
"ADD2","DMTN"
"ADD2","DMTN"
"ADH1A","ALDH1A2"
"ADH1A","ALDH1A2"
"ADH1A","DGAT1"
"ADH1A","DGAT1"
"ADH1A","HPGDS"
"ADH1A","HPGDS"
"ADH1A","LDHAL6A"
"ADH1A","LDHAL6A"
"ADH1A","UGT2B28"
"ADH1A","UGT2B28"
"ADH1B","ALDH1A3"
"ADH1B","ALDH1A3"
"ADH1B","CYP4X1"
"ADH1B","CYP4X1"
"ADH1B","MAOB"
"ADH1B","MAOB"
"ADH4","ALDH7A1"
"ADH4","ALDH7A1"
"ADH4","HPGDS"
"ADH4","HPGDS"
"ADH4","LDHAL6A"
"ADH4","LDHAL6A"
"ADH4","UGT2B11"
"ADH4","UGT2B11"
"ADH4","UGT2B28"
"ADH4","UGT2B28"
"ADM2","ADM5"
"ADM2","ADM5"
"ADORA1","ENTPD1"
"ADORA1","ENTPD1"
"ADORA2A","ADORA1"
"ADORA2A","ADORA1"
"ADORA2A","CNR1"
"ADORA2A","CNR1"
"ADORA2A","GNAS"
"ADORA2A","GNAS"
"ADORA2B","ADORA1"
"ADORA2B","ADORA1"
"ADORA2B","ENTPD1"
"ADORA2B","ENTPD1"
"ADORA3","ARRB2"
"ADORA3","ARRB2"
"ADORA3","ENTPD1"
"ADORA3","ENTPD1"
"ADRA2A","ADCY5"
"ADRA2A","ADCY5"
"ADRA2A","GNAZ"
"ADRA2A","GNAZ"
"ADRA2A","PRKCD"
"ADRA2A","PRKCD"
"ADRA2A","UCHL1"
"ADRA2A","UCHL1"
"ADRB1","ARRB1"
"ADRB1","ARRB1"
"ADRB2","ADCY6"
"ADRB2","ADCY6"
"ADRB2","ARRB2"
"ADRB2","ARRB2"
"ADRB2","BSG"
"ADRB2","BSG"
"ADRB2","CCL4"
"ADRB2","CCL4"
"ADRB2","CXCL12"
"ADRB2","CXCL12"
"ADRB2","CXCR4"
"ADRB2","CXCR4"
"ADRB2","GNAI1"
"ADRB2","GNAI1"
"ADRB2","GNAI2"
"ADRB2","GNAI2"
"ADRB2","GNAL"
"ADRB2","GNAL"
"ADRB2","GRB2"
"ADRB2","GRB2"
"ADRB2","GRK5"
"ADRB2","GRK5"
"ADRB2","NEDD4"
"ADRB2","NEDD4"
"ADRB2","P2RY2"
"ADRB2","P2RY2"
"ADRB2","RAPGEF3"
"ADRB2","RAPGEF3"
"ADRM1","PSMB3"
"ADRM1","PSMB3"
"AES","TLE2"
"AES","TLE2"
"AFAP1L2","LCK"
"AFAP1L2","LCK"
"AFAP1L2","SH3PXD2A"
"AFAP1L2","SH3PXD2A"
"AFAP1L2","SRC"
"AFAP1L2","SRC"
"AFF2","FRA10AC1"
"AFF2","FRA10AC1"
"AGER","HRAS"
"AGER","HRAS"
"AGER","LTB4R"
"AGER","LTB4R"
"AGFG1","RAB1A"
"AGFG1","RAB1A"
"AGO3","DROSHA"
"AGO3","DROSHA"
"AGO3","H2AFJ"
"AGO3","H2AFJ"
"AGO3","KMT2A"
"AGO3","KMT2A"
"AGO3","RPP40"
"AGO3","RPP40"
"AGO3","TNRC6A"
"AGO3","TNRC6A"
"AGO3","TNRC6B"
"AGO3","TNRC6B"
"AGPAT2","AGPAT6"
"AGPAT2","AGPAT6"
"AGPAT2","DGAT1"
"AGPAT2","DGAT1"
"AGPAT2","LPIN3"
"AGPAT2","LPIN3"
"AGPAT2","LPPR2"
"AGPAT2","LPPR2"
"AGPAT5","AGPAT2"
"AGPAT5","AGPAT2"
"AGPAT5","AGPAT6"
"AGPAT5","AGPAT6"
"AGPAT5","LCLAT1"
"AGPAT5","LCLAT1"
"AGPAT5","LPIN1"
"AGPAT5","LPIN1"
"AGPAT5","LPPR2"
"AGPAT5","LPPR2"
"AGPAT5","MBOAT2"
"AGPAT5","MBOAT2"
"AGPAT5","PPAP2B"
"AGPAT5","PPAP2B"
"AGPAT6","ABHD5"
"AGPAT6","ABHD5"
"AGPAT6","AGPAT9"
"AGPAT6","AGPAT9"
"AGPAT6","DGAT1"
"AGPAT6","DGAT1"
"AGPAT6","GK"
"AGPAT6","GK"
"AGPS","ABCD3"
"AGPS","ABCD3"
"AGPS","C1orf27"
"AGPS","C1orf27"
"AGPS","FAM73A"
"AGPS","FAM73A"
"AGT","CPB1"
"AGT","CPB1"
"AGT","CXCL12"
"AGT","CXCL12"
"AGT","CXCR4"
"AGT","CXCR4"
"AGT","EDNRB"
"AGT","EDNRB"
"AGT","GNAS"
"AGT","GNAS"
"AGT","GRB2"
"AGT","GRB2"
"AGT","HCK"
"AGT","HCK"
"AGT","PRKACB"
"AGT","PRKACB"
"AGTRAP","AGT"
"AGTRAP","AGT"
"AGTRAP","ARAP1"
"AGTRAP","ARAP1"
"AGTRAP","CAMK2A"
"AGTRAP","CAMK2A"
"AGTRAP","CAMK2D"
"AGTRAP","CAMK2D"
"AGTRAP","PITPNC1"
"AGTRAP","PITPNC1"
"AHCYL2","MTR"
"AHCYL2","MTR"
"AHI1","ARL13B"
"AHI1","ARL13B"
"AHI1","CEP290"
"AHI1","CEP290"
"AHI1","RPGRIP1L"
"AHI1","RPGRIP1L"
"AHI1","SPATA7"
"AHI1","SPATA7"
"AHI1","TMEM67"
"AHI1","TMEM67"
"AHNAK","DYSF"
"AHNAK","DYSF"
"AHNAK","MARK2"
"AHNAK","MARK2"
"AHNAK","PRKCA"
"AHNAK","PRKCA"
"AHR","AR"
"AHR","AR"
"AHR","CYP1B1"
"AHR","CYP1B1"
"AHR","EP300"
"AHR","EP300"
"AHR","NRIP1"
"AHR","NRIP1"
"AHR","SRC"
"AHR","SRC"
"AHR","STAT1"
"AHR","STAT1"
"AHR","XPO1"
"AHR","XPO1"
"AIM2","CARD16"
"AIM2","CARD16"
"AIM2","CASP1"
"AIM2","CASP1"
"AIM2","CASP4"
"AIM2","CASP4"
"AIM2","CASP5"
"AIM2","CASP5"
"AIM2","NLRC4"
"AIM2","NLRC4"
"AIM2","NLRP1"
"AIM2","NLRP1"
"AIM2","TP53BP1"
"AIM2","TP53BP1"
"AIP","RET"
"AIP","RET"
"AK1","APRT"
"AK1","APRT"
"AK1","ME3"
"AK1","ME3"
"AK3","AK9"
"AK3","AK9"
"AK3","RNF145"
"AK3","RNF145"
"AK6","ATXN7L1"
"AK6","ATXN7L1"
"AK6","GTF2H3"
"AK6","GTF2H3"
"AK9","NUDT16"
"AK9","NUDT16"
"AKAP11","AKAP7"
"AKAP11","AKAP7"
"AKAP11","IQGAP1"
"AKAP11","IQGAP1"
"AKAP11","PRKACB"
"AKAP11","PRKACB"
"AKAP9","ARRB2"
"AKAP9","ARRB2"
"AKAP9","CAMK2B"
"AKAP9","CAMK2B"
"AKAP9","CENPJ"
"AKAP9","CENPJ"
"AKAP9","CEP152"
"AKAP9","CEP152"
"AKAP9","DISC1"
"AKAP9","DISC1"
"AKAP9","PRKACB"
"AKAP9","PRKACB"
"AKR1B1","DCXR"
"AKR1B1","DCXR"
"AKR1B1","DHFR"
"AKR1B1","DHFR"
"AKR1B1","ENO3"
"AKR1B1","ENO3"
"AKR1B1","HK1"
"AKR1B1","HK1"
"AKR1B1","HK3"
"AKR1B1","HK3"
"AKR1B1","PGAM1"
"AKR1B1","PGAM1"
"AKR1C3","DHRS11"
"AKR1C3","DHRS11"
"AKR1C3","HSD17B1"
"AKR1C3","HSD17B1"
"ALAS2","ABCB10"
"ALAS2","ABCB10"
"ALAS2","CA1"
"ALAS2","CA1"
"ALAS2","HBB"
"ALAS2","HBB"
"ALAS2","HBG2"
"ALAS2","HBG2"
"ALAS2","SLC25A37"
"ALAS2","SLC25A37"
"ALB","ANXA5"
"ALB","ANXA5"
"ALB","BDNF"
"ALB","BDNF"
"ALB","CD19"
"ALB","CD19"
"ALB","CUBN"
"ALB","CUBN"
"ALB","CYP3A4"
"ALB","CYP3A4"
"ALB","DNTT"
"ALB","DNTT"
"ALB","EDN1"
"ALB","EDN1"
"ALB","GH1"
"ALB","GH1"
"ALB","GPT"
"ALB","GPT"
"ALDH18A1","ALDH6A1"
"ALDH18A1","ALDH6A1"
"ALDH18A1","ALDH7A1"
"ALDH18A1","ALDH7A1"
"ALDH18A1","ASS1"
"ALDH18A1","ASS1"
"ALDH18A1","CPS1"
"ALDH18A1","CPS1"
"ALDH18A1","FDXR"
"ALDH18A1","FDXR"
"ALDH18A1","GART"
"ALDH18A1","GART"
"ALDH18A1","GMPS"
"ALDH18A1","GMPS"
"ALDH18A1","MTHFD2L"
"ALDH18A1","MTHFD2L"
"ALDH18A1","PRODH"
"ALDH18A1","PRODH"
"ALDH18A1","PSAT1"
"ALDH18A1","PSAT1"
"ALDH18A1","PSPH"
"ALDH18A1","PSPH"
"ALDH18A1","THUMPD2"
"ALDH18A1","THUMPD2"
