"Name","K","Kin","Kout","TypeI","TypeII"
"MAF",10,4,6,0,1
"BAK1",9,7,2,0,1
"BAMBI",9,5,4,0,1
"BMP7",13,10,3,0,1
"GREM1",9,8,1,0,1
"TIPIN",43,10,33,0,1
"PIM1",14,12,2,0,1
"RORC",9,4,5,0,1
"HIST1H2AD",49,17,32,0,1
"HIST1H2BK",51,23,28,0,1
"ELN",20,14,6,0,1
"TNF",112,97,15,0,1
"RPA4",15,8,7,0,1
"FGR",37,25,12,0,1
"PTPN6",50,40,10,0,1
"SYK",61,44,17,0,1
"LAMA3",35,17,18,0,1
"BSCL2",9,5,4,0,1
"DCAF13",19,6,13,0,1
"ERBB4",34,18,16,0,1
"GNL3L",18,10,8,0,1
"DHCR7",15,11,4,0,1
"SYCE1",8,3,5,0,1
"C1GALT1C1",21,7,14,0,1
"MUC21",15,5,10,0,1
"TOR1AIP2",4,2,2,0,1
"CYP24A1",6,1,5,0,1
"SLC26A3",7,5,2,0,1
"CACYBP",9,6,3,0,1
"EPB41L2",9,3,6,0,1
"PVRL3",8,6,2,0,1
"CADM3",6,3,3,0,1
"CALML5",9,7,2,0,1
"F11R",23,10,13,0,1
"PKM",29,12,17,0,1
"CANX",39,6,33,0,1
"EDEM3",14,7,7,0,1
"ITIH4",18,4,14,0,1
"RPN1",23,10,13,0,1
"LRRK2",24,5,19,0,1
"EVPL",8,3,5,0,1
"KIAA0196",6,2,4,0,1
"NLGN1",12,7,5,0,1
"CFLAR",13,8,5,0,1
"FASLG",21,15,6,0,1
"PTBP2",9,6,3,0,1
"LPAR1",15,12,3,0,1
"LDB3",17,11,6,0,1
"EPHA2",22,13,9,0,1
"FGFR1",33,28,5,0,1
"KSR1",13,10,3,0,1
"ERBB2",59,19,40,0,1
"FCER1A",6,3,3,0,1
"CETN2",21,17,4,0,1
"CHD4",54,23,31,0,1
"RBM44",5,2,3,0,1
"RET",14,8,6,0,1
"CCL11",38,14,24,0,1
"CCR8",23,9,14,0,1
"CXCR3",35,21,14,0,1
"CCR5",55,14,41,0,1
"TSLP",12,7,5,0,1
"IL12B",18,2,16,0,1
"IL18",33,10,23,0,1
"PSMD14",29,26,3,0,1
"CD86",49,23,26,0,1
"ILF2",19,10,9,0,1
"PPP2R2C",12,7,5,0,1
"TUBA1B",23,15,8,0,1
"TUBB4B",17,15,2,0,1
"RUVBL1",62,19,43,0,1
"TUBB6",10,4,6,0,1
"CD209",18,6,12,0,1
"CD3G",28,25,3,0,1
"CD300C",11,4,7,0,1
"MAP1LC3A",6,4,2,0,1
"IL2RG",34,24,10,0,1
"PTPRJ",20,16,4,0,1
"IL33",10,7,3,0,1
"TNFRSF8",11,3,8,0,1
"ITGA10",17,8,9,0,1
"ITGB6",25,8,17,0,1
"PPP2R3A",4,2,2,0,1
"JUP",23,18,5,0,1
"PKP3",15,7,8,0,1
